dur,service,spkts,dpkts,dbytes,sttl,sload,dload,sloss,dloss,stcpb,dtcpb,synack,smean,dmean,ct_srv_src,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
3e-06,2,2,0,0,254,152000000.0,0.0,0,0,0,0,0.0,57,0,27,27,0,0,0,2,27,0,1
0.000927,2,2,2,162,31,560949.3125,699029.125,0,0,0,0,0.0,65,81,2,1,0,0,0,3,1,0,0
1.712456,0,10,8,354,254,3414.978271,1448.212402,2,1,2964751513,3064671305,0.131664,81,44,2,2,0,0,0,1,4,0,0
0.20132,4,6,8,1828,31,10609.97363,63580.36719,1,2,914439605,3438502542,0.000615,53,229,2,2,0,0,0,2,2,0,0
8e-06,0,2,0,0,254,100000000.0,0.0,0,0,0,0,0.0,100,0,4,4,0,0,0,10,4,0,1
0.941491,0,12,10,776,254,7808.890137,5939.515137,3,2,860093738,3467213738,0.083214,84,78,3,3,0,0,0,1,3,0,0
59.744881,0,68,0,0,254,2440.242432,0.0,0,0,0,0,0.0,272,0,1,1,0,0,0,1,1,0,1
0.014797,0,36,38,16290,31,1227275.75,8575792.0,7,12,3765159608,1615996354,0.000934,65,429,11,1,0,0,0,3,2,0,0
0.372017,0,10,6,268,254,11784.4082,4816.984375,2,1,4267011485,481908450,0.08329,61,45,5,2,0,0,0,2,4,0,1
1.16884,0,12,8,692,254,6940.213867,4147.70166,3,2,1971873748,3216464896,0.077638,92,87,3,2,0,0,0,3,2,0,1
0.046986,0,72,74,63878,31,711701.375,10729154.0,7,30,1087474303,1087709699,0.00052,59,863,8,1,0,0,0,4,8,0,0
1.119097,0,14,12,678,254,5197.047363,4446.441895,4,4,2770286982,3289976441,0.07418,56,57,5,5,0,0,0,1,5,0,0
1.1e-05,0,2,0,0,254,61090908.0,0.0,0,0,0,0,0.0,84,0,1,1,0,0,0,1,1,0,1
1e-05,0,2,0,0,254,80000000.0,0.0,0,0,0,0,0.0,100,0,15,2,0,0,0,7,12,0,1
9.05373,0,12,0,0,254,437.388794,0.0,11,0,0,0,0.0,45,0,18,18,0,0,0,11,17,0,0
1.24686,11,70,60,12716,31,78879.74219,80233.54688,17,17,2546257871,401196418,0.000618,178,212,1,1,0,0,0,3,1,0,0
0.517454,0,6,2,86,62,12600.15332,664.793335,2,1,1594971554,4213567227,0.132802,163,43,7,5,0,0,0,3,5,0,0
0.004062,0,8,10,824,31,1800098.375,1461349.0,2,2,2128028590,4274487272,0.000532,131,82,10,2,0,0,0,3,10,0,0
0.001044,2,2,2,178,31,559386.9375,681992.3125,0,0,0,0,0.0,73,89,2,1,0,0,0,2,2,0,0
0.047936,0,84,86,77276,31,801902.5625,12746662.0,7,36,4109052484,1982550463,0.000535,58,899,10,1,0,0,0,2,11,0,0
1.1e-05,2,2,0,0,254,41454544.0,0.0,0,0,0,0,0.0,57,0,14,7,0,0,0,8,14,0,1
5e-06,2,2,0,0,254,91200000.0,0.0,0,0,0,0,0.0,57,0,42,42,0,0,0,18,42,0,1
9e-06,0,2,0,0,254,40000000.0,0.0,1,0,0,0,0.0,45,0,5,25,0,0,0,3,3,0,0
0.609309,0,10,6,268,254,6315.350586,2941.036377,2,1,1109324357,2444447198,0.088822,53,45,5,5,0,0,0,4,5,0,0
0.035971,0,44,46,24004,31,601373.3125,5222651.5,7,16,295186163,2451063042,0.000575,63,522,10,1,0,0,0,2,7,0,0
0.838648,0,10,14,10546,62,7459.625488,93417.02344,2,5,2525356205,2977357090,0.079711,87,753,8,1,0,0,0,2,1,0,1
0.001185,2,2,2,178,31,492827.0313,600843.9375,0,0,0,0,0.0,73,89,5,1,0,0,0,10,2,0,0
33.520821,0,70,0,0,254,1778.476807,0.0,0,0,0,0,0.0,108,0,7,2,0,0,0,3,6,0,1
0.566412,0,10,8,354,254,20493.91797,4378.438477,2,1,3759172041,862058411,0.074308,161,44,6,6,0,0,0,2,6,0,1
0.022017,0,16,18,1644,31,524685.4375,564291.25,4,4,2203160674,2207872344,0.000459,96,91,7,4,0,0,0,7,9,0,0
1.117189,0,10,8,354,254,3637.701172,2219.857178,2,1,2337631895,1148332987,0.075945,56,44,2,1,0,0,0,1,1,0,1
0.216587,5,10,10,4328,62,30731.29883,143905.2188,2,3,701987472,3779823585,0.012633,92,433,3,3,0,0,1,4,3,0,1
6.635257,0,4,0,0,254,162.766876,0.0,3,0,0,0,0.0,45,0,28,26,0,0,0,17,26,0,0
9e-06,2,2,0,0,254,50666664.0,0.0,0,0,0,0,0.0,57,0,24,24,0,0,0,6,24,0,1
0.66196,0,10,8,354,254,6139.34375,3746.449951,2,1,2613234970,3471194572,0.007799,56,44,1,1,0,0,0,1,1,0,1
1.019062,5,12,18,10168,31,11375.16602,75394.82031,3,5,136626964,137584845,0.000533,132,565,6,1,0,0,1,4,4,0,0
4e-06,2,2,0,0,254,114000000.0,0.0,0,0,0,0,0.0,57,0,8,7,0,0,0,7,8,0,1
9e-06,0,2,0,0,254,88888888.0,0.0,0,0,0,0,0.0,100,0,7,7,0,0,0,11,7,0,1
1e-05,2,2,0,0,254,45600000.0,0.0,0,0,0,0,0.0,57,0,7,3,0,0,0,3,7,0,1
9e-06,0,2,0,0,254,88888888.0,0.0,0,0,0,0,0.0,100,0,4,4,0,0,0,2,4,0,1
36.332821,0,20,12,536,254,246.16861,108.331802,4,1,1138734605,3628068571,0.03656,59,45,7,2,0,0,0,1,2,0,0
1.273547,5,10,10,1878,62,4692.40625,10622.30078,2,2,936930117,1915391852,0.050514,83,188,1,1,0,0,0,1,1,0,1
0.642205,5,10,10,1434,62,9106.126953,16082.0918,2,2,4143484892,991796876,0.062368,81,143,4,4,0,0,1,2,4,0,0
0.638405,0,10,8,354,254,6365.864746,3884.681152,2,1,3866760268,1314617748,0.02791,56,44,1,1,0,0,0,1,1,0,1
1.533134,0,10,8,354,254,11881.54492,1617.601562,2,1,2059427240,1552560954,0.101242,253,44,4,2,0,0,0,2,2,0,0
8e-06,0,2,0,0,254,100000000.0,0.0,0,0,0,0,0.0,100,0,6,6,0,0,0,1,6,0,1
0.719254,0,10,8,354,254,5894.996582,3448.016846,2,1,1530447924,175013642,0.068729,59,44,3,3,0,0,0,1,3,0,0
1e-05,0,2,0,0,254,425600000.0,0.0,0,0,0,0,0.0,532,0,3,3,0,0,0,1,8,0,0
9e-06,2,2,0,0,254,50666664.0,0.0,0,0,0,0,0.0,57,0,33,33,0,0,0,22,33,0,1
1.1e-05,0,2,0,0,254,506909088.0,0.0,0,0,0,0,0.0,697,0,1,1,0,0,0,1,1,0,1
0.264001,5,10,10,3730,62,22605.97461,101726.8828,2,3,2843119611,2235489847,0.011497,83,373,1,1,0,0,1,1,1,0,1
0.618465,0,10,6,268,254,6739.265625,2897.496094,1,0,1142829040,2915389733,0.124276,58,45,3,3,0,0,0,3,3,0,0
1.017039,5,12,18,10168,31,11397.79395,75544.79688,3,5,3270848266,3267668912,0.000506,132,565,1,1,0,0,1,1,1,0,0
0.490739,0,10,6,268,254,8428.105469,3651.635742,2,1,1634640092,2041631509,0.091816,57,45,3,3,0,0,0,1,3,0,0
9e-06,2,2,0,0,254,50666664.0,0.0,0,0,0,0,0.0,57,0,26,26,0,0,0,26,26,0,1
5e-06,0,2,0,0,254,72000000.0,0.0,0,0,0,0,0.0,45,0,2,2,0,0,0,3,2,0,0
0.783656,0,8,8,1280,62,3256.531006,11433.58789,1,2,1521249516,3027472563,0.050725,46,160,2,2,0,0,0,2,7,0,1
1.987484,0,22,32,23228,62,4528.338379,90578.84375,6,14,214982610,3107197457,0.066685,54,726,1,1,0,0,0,2,2,0,1
7e-06,0,2,0,0,254,59428572.0,0.0,0,0,0,0,0.0,52,0,3,3,0,0,0,2,3,0,0
3e-06,0,2,0,0,254,224000000.0,0.0,0,0,0,0,0.0,84,0,1,1,0,0,0,1,4,0,1
1.1e-05,2,2,0,0,62,40000000.0,0.0,0,0,0,0,0.0,55,0,1,1,0,0,0,4,1,0,1
2.356615,9,60,26,2122,62,194686.0156,6928.581543,27,8,3743754134,4143721109,0.073991,972,82,1,1,0,0,0,2,1,0,1
0.900631,0,14,12,642,254,6386.633301,5231.887207,4,3,855264627,1955233336,0.063471,55,54,2,2,0,0,0,1,3,0,0
0.891957,0,10,6,268,254,4915.035156,2009.065552,2,1,3311147620,1876329654,0.126122,61,45,13,2,0,0,0,5,6,0,1
1.2e-05,0,2,0,0,254,77333328.0,0.0,0,0,0,0,0.0,116,0,1,1,0,0,0,1,1,0,1
0.017757,0,44,46,24004,31,1218223.75,10579715.0,7,16,163456681,169275996,0.00055,63,522,8,1,0,0,0,6,6,0,0
0.288985,0,16,18,1644,31,39974.39063,42991.84766,4,4,415978106,476883741,0.001066,96,91,8,6,0,0,0,7,10,0,0
0.887134,5,60,14,612,254,604742.875,5131.129883,27,1,3784330067,3744309604,0.073869,1137,44,4,1,0,0,1,2,5,0,1
2e-06,0,2,0,0,254,80000000.0,0.0,0,0,0,0,0.0,100,0,19,4,0,0,0,4,18,0,1
8e-06,0,2,0,0,254,39000000.0,0.0,0,0,0,0,0.0,39,0,21,20,0,0,0,6,20,0,0
4e-06,0,2,0,0,254,104000000.0,0.0,0,0,0,0,0.0,52,0,4,1,0,0,0,1,7,0,1
1.1e-05,0,2,0,0,254,37818180.0,0.0,0,0,0,0,0.0,52,0,9,1,0,0,0,3,3,0,1
0.48852,0,10,6,268,254,36993.36719,3668.222412,2,1,1824536158,2968165416,0.107399,251,45,6,1,0,0,0,2,1,0,1
0.702103,5,10,14,10840,62,8226.712891,114695.4219,2,5,3453068388,3838251271,0.069609,80,774,1,1,0,0,1,11,1,0,1
0.536927,0,10,6,268,254,8045.786621,3337.511475,2,0,3738475984,1460955064,0.030478,60,45,14,5,0,0,0,6,9,0,1
0.005064,0,18,18,2456,31,6314376.0,3665087.0,7,7,2436981287,294680366,0.000496,235,136,12,3,0,0,0,5,11,0,0
1.005567,0,10,6,268,254,6849.867188,1782.079224,2,1,1481884613,1217525678,0.061457,96,45,1,1,0,0,0,1,1,0,1
